date,sales_in,stores,pro,pro_npro,offtake
7/13/2020,4170,19336,RSP,0,5.5161
7/20/2020,35,21440,2for,1,8.2377
7/27/2020,256,24646,2for,1,11.907
8/3/2020,756,23780,2for,1,11.178
8/10/2020,452,23017,2for,1,10.2789
8/17/2020,467,21822,2for,1,9.2097
8/24/2020,178,19460,RSP,0,6.4395
8/31/2020,338,19246,RSP,0,6.4638
9/7/2020,192,18617,RSP,0,6.1965
9/14/2020,280,18617,RSP,0,6.1965
9/21/2020,479,18617,point,1,6.1965
9/28/2020,623,18189,point,1,8.1162
10/5/2020,353,18189,point,1,8.1162
10/12/2020,261,18189,point,1,8.1162
10/19/2020,295,18189,point,1,8.1162
10/26/2020,139,13419,RSP,0,5.4675
11/2/2020,110,13419,RSP,0,5.4675
11/9/2020,171,13419,RSP,0,5.4675
11/16/2020,304,13169,RSP,0,5.4189
11/23/2020,431,13266,2nd_haft,1,5.5647
11/30/2020,336,15893,2nd_haft,1,8.0433
12/7/2020,149,18311,2nd_haft,1,12.5145
12/14/2020,285,14051,2nd_haft,1,7.7031
12/21/2020,243,13669,2nd_haft,1,8.0919
12/28/2020,409,13686,2nd_haft,1,7.9461
1/4/2021,161,10270,RSP,0,5.0058
1/11/2021,20,10136,RSP,0,4.9572
1/18/2021,4170,9893,RSP,0,4.9572
1/25/2021,2037,13582,RSP,0,4.9572
2/15/2021,8,13516,RSP,0,5.1273
2/22/2021,0,13426,RSP,0,5.103
3/1/2021,15,13079,RSP,0,4.9572
3/8/2021,1485,12571,RSP,0,4.8843
3/15/2021,511,14291,RSP,0,5.0058
4/5/2021,20,16340,RSP,0,5.4675
4/12/2021,0,15805,RSP,0,5.4432
5/3/2021,20,13740,RSP,0,5.3946
5/10/2021,15,13740,RSP,0,5.1273
5/17/2021,25,13482,RSP,0,5.3217
5/24/2021,66,12974,2for,1,13.3407
5/31/2021,100,18160,2for,1,8.8938
6/7/2021,83,17562,2for,1,8.2863
6/14/2021,90,16469,2for,1,8.262
6/21/2021,132,13487,2for,1,7.1685
6/28/2021,103,15839,RSP,0,7.8975
7/5/2021,61,15266,RSP,0,7.776
7/12/2021,37,14865,RSP,0,7.6059
7/19/2021,42,15322,RSP,0,7.776
7/26/2021,47,15152,RSP,0,7.7274
8/2/2021,122,9305,RSP,0,7.5816
8/9/2021,83,8736,RSP,0,7.1199
8/16/2021,664,8245,RSP,0,7.0956
9/27/2021,56,7706,RSP,0,6.8769
10/4/2021,13,7495,RSP,0,6.3909
10/11/2021,15,7383,RSP,0,6.1965
10/18/2021,103,7798,RSP,0,6.9741
10/25/2021,243,9191,2for,1,10.8378
11/1/2021,219,9142,2for,1,11.1537
11/8/2021,467,8843,2for,1,10.7892
11/15/2021,4331,11679,2for,1,10.7163
11/22/2021,134,13745,2for,1,11.7369
11/29/2021,0,13582,RSP,0,10.8135
12/6/2021,18,13001,RSP,0,11.0808
12/13/2021,0,13443,RSP,0,11.2023
12/20/2021,20,13093,RSP,0,7.2414
12/27/2021,27,13383,RSP,0,8.0676
1/3/2022,54,12792,RSP,0,7.1685
1/10/2022,73,12765,RSP,0,6.804
1/17/2022,66,12743,RSP,0,6.6582
1/24/2022,105,14313,2for,1,10.2546
1/31/2022,195,13975,2for,1,10.2546
2/7/2022,146,13084,2for,1,9.3798
2/14/2022,207,12914,2for,1,9.3555
2/21/2022,231,12267,2for,1,7.6545
2/28/2022,103,11643,RSP,0,6.561
3/7/2022,112,11356,RSP,0,6.6582
3/14/2022,132,11261,RSP,0,6.6582
3/21/2022,192,11322,RSP,0,6.804
3/28/2022,178,11222,RSP,0,7.1685
4/4/2022,931,10768,RSP,0,7.5087
4/11/2022,234,11917,RSP,0,7.5816
4/18/2022,0,12843,3for,1,8.2377
4/25/2022,265,13234,3for,1,11.3967
5/2/2022,324,12109,3for,1,10.8135
5/9/2022,236,11008,RSP,0,8.8695
5/16/2022,268,10340,RSP,0,7.8975
5/23/2022,110,9968,RSP,0,7.1442
5/30/2022,0,10440,RSP,0,7.9704
6/6/2022,0,8457,RSP,0,5.8563
6/13/2022,0,7587,RSP,0,5.5161
6/20/2022,32,7011,RSP,0,5.4918
6/27/2022,149,6865,RSP,0,5.8077
7/4/2022,161,7468,RSP,0,6.3666
7/11/2022,253,7616,RSP,0,7.0713
7/18/2022,107,8933,RSP,0,11.2266
7/25/2022,246,8454,2for,1,10.7649
8/1/2022,329,8333,2for,1,10.2546
8/8/2022,195,8095,2for,1,10.1088
8/15/2022,256,7395,2for,1,7.29
8/22/2022,163,7167,RSP,0,6.3666
8/29/2022,52,7553,RSP,0,7.9218
9/5/2022,120,7371,RSP,0,7.1928
9/12/2022,73,6809,RSP,0,6.2937
9/19/2022,93,6812,RSP,0,6.3666
9/26/2022,129,7023,RSP,0,6.3666
